               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.012356,           0.0063776,          0.00074413,             0.98965,                   1,               0.995,             0.86065,           0.0034179,            0.002612,          0.00023969,            0.006271,            0.006271,            0.006271
                 115,            0.013559,           0.0063384,           0.0016025,             0.99097,                   1,               0.995,             0.91341,           0.0031165,           0.0028068,          0.00020895,            0.006238,            0.006238,            0.006238
                 116,             0.01247,           0.0058004,            0.001202,              0.9932,                   1,               0.995,             0.87865,           0.0048292,           0.0026653,          0.00018415,            0.006205,            0.006205,            0.006205
                 117,            0.012859,           0.0062323,          0.00082491,             0.99372,                   1,               0.995,             0.91658,           0.0032627,           0.0024466,          0.00017503,            0.006172,            0.006172,            0.006172
                 118,            0.011293,           0.0057821,          0.00069161,             0.99415,                   1,               0.995,             0.91775,           0.0027912,             0.00237,          0.00017611,            0.006139,            0.006139,            0.006139
                 119,            0.012504,           0.0063986,           0.0016012,             0.99434,                   1,               0.995,             0.88824,           0.0035433,           0.0025429,          0.00018794,            0.006106,            0.006106,            0.006106
                 120,            0.011162,           0.0062349,          0.00047422,             0.99274,                   1,               0.995,             0.86017,           0.0032993,           0.0024488,           0.0001895,            0.006073,            0.006073,            0.006073
                 121,             0.01206,           0.0060657,           0.0013973,             0.99354,                   1,               0.995,             0.87346,           0.0035443,           0.0026544,          0.00018228,             0.00604,             0.00604,             0.00604
                 122,             0.01219,           0.0063801,          0.00079666,             0.99447,                   1,               0.995,             0.84801,           0.0053532,           0.0029481,          0.00017573,            0.006007,            0.006007,            0.006007
                 123,            0.011942,           0.0061667,          0.00067682,             0.99427,                   1,               0.995,             0.89751,           0.0027482,           0.0023442,          0.00016654,            0.005974,            0.005974,            0.005974
                 124,            0.010653,           0.0058175,           0.0014305,             0.99448,                   1,               0.995,              0.8633,           0.0030186,           0.0023525,          0.00015189,            0.005941,            0.005941,            0.005941
                 125,            0.010632,           0.0058168,           0.0010781,             0.99339,                   1,               0.995,              0.8387,           0.0033011,           0.0023972,          0.00014663,            0.005908,            0.005908,            0.005908
                 126,             0.01201,           0.0060938,          0.00097052,             0.99434,                   1,               0.995,              0.9097,            0.002698,           0.0022508,           0.0001495,            0.005875,            0.005875,            0.005875
                 127,            0.011275,           0.0060807,            0.001028,             0.99439,                   1,               0.995,              0.8956,           0.0033124,           0.0024504,          0.00016168,            0.005842,            0.005842,            0.005842
                 128,            0.013625,            0.006226,           0.0017967,             0.99417,                   1,               0.995,              0.8988,           0.0040856,           0.0025597,          0.00017786,            0.005809,            0.005809,            0.005809
                 129,            0.012014,           0.0060997,           0.0023537,             0.99408,                   1,               0.995,             0.90999,           0.0032622,           0.0023079,          0.00019229,            0.005776,            0.005776,            0.005776
                 130,            0.011922,           0.0061529,          0.00094552,             0.99255,                   1,               0.995,              0.9011,           0.0041239,           0.0026425,           0.0001894,            0.005743,            0.005743,            0.005743
                 131,            0.012025,           0.0062612,           0.0033294,              0.9941,                   1,               0.995,              0.9178,             0.00277,           0.0023919,          0.00017707,             0.00571,             0.00571,             0.00571
                 132,             0.01223,           0.0060962,           0.0015569,             0.99356,                   1,               0.995,             0.92576,           0.0029322,           0.0022494,          0.00016492,            0.005677,            0.005677,            0.005677
